age,gender,race,path,gender_str,race_str,age_group_str
100,1,0,data/cropped/100_1_0_20170110183726390.jpg,Female,White,Senior (60+)
100,1,2,data/cropped/100_1_2_20170105174847679.jpg,Female,Asian,Senior (60+)
100,1,2,data/cropped/100_1_2_20170110182836729.jpg,Female,Asian,Senior (60+)
101,1,2,data/cropped/101_1_2_20170105174739309.jpg,Female,Asian,Senior (60+)
10,0,0,data/cropped/10_0_0_20161220222308131.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170103200329407.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170103200522151.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170103233459275.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170104013211746.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110215927291.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220033115.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220111082.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220235233.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220251986.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220255346.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220316298.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220403810.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220447314.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220503946.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220514186.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220530650.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220539329.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220541850.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220546177.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220548521.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220557169.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220644705.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110220654150.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110221714752.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110221719390.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110221811823.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224223937.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224238891.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224253445.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224255796.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224402264.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224406532.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224416035.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224500062.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224524253.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224549512.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224725285.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110224757882.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110225013755.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110225035898.jpg,Male,White,Child (0–12)
10,0,0,data/cropped/10_0_0_20170110225227587.jpg,Male,White,Child (0–12)
